[2023-05-11 13:49:56.011] [main] INFO  com.dlu.dluBack.DluBackApplication: Starting DluBackApplication on HuangCF with PID 18780 (E:\java_project\dlu_all\dluBack\target\classes started by 86156 in E:\java_project\dluBack\dluBack)
[2023-05-11 13:49:56.012] [main] INFO  com.dlu.dluBack.DluBackApplication: No active profile set, falling back to default profiles: default
[2023-05-11 13:49:56.759] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer: Tomcat initialized with port(s): 8003 (http)
[2023-05-11 13:49:56.769] [main] INFO  o.a.coyote.http11.Http11NioProtocol: Initializing ProtocolHandler ["http-nio-8003"]
[2023-05-11 13:49:56.775] [main] INFO  o.a.catalina.core.StandardService: Starting service [Tomcat]
[2023-05-11 13:49:56.775] [main] INFO  o.a.catalina.core.StandardEngine: Starting Servlet engine: [Apache Tomcat/9.0.21]
[2023-05-11 13:49:56.864] [main] INFO  o.a.c.c.C.[.[localhost].[/dlu]: Initializing Spring embedded WebApplicationContext
[2023-05-11 13:49:56.864] [main] INFO  o.s.web.context.ContextLoader: Root WebApplicationContext: initialization completed in 824 ms
[2023-05-11 13:49:56.887] [main] INFO  o.s.b.web.servlet.RegistrationBean: Filter crossDomainFilter was not registered (possibly already registered?)
[2023-05-11 13:49:56.901] [main] INFO  c.d.dluBack.filter.CrossDomainFilter: -----CrossDomainFilter init -------
[2023-05-11 13:49:57.290] [main] INFO  o.s.s.c.ThreadPoolTaskExecutor: Initializing ExecutorService 'applicationTaskExecutor'
[2023-05-11 13:49:57.363] [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration: Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
[2023-05-11 13:49:57.476] [main] INFO  o.a.coyote.http11.Http11NioProtocol: Starting ProtocolHandler ["http-nio-8003"]
[2023-05-11 13:49:57.494] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer: Tomcat started on port(s): 8003 (http) with context path '/dlu'
[2023-05-11 13:49:57.497] [main] INFO  com.dlu.dluBack.DluBackApplication: Started DluBackApplication in 1.761 seconds (JVM running for 3.387)
[2023-05-11 14:22:21.544] [Thread-6] INFO  o.s.s.c.ThreadPoolTaskExecutor: Shutting down ExecutorService 'applicationTaskExecutor'
